Documento 1:
Index     Term           TF        IDF       TF-IDF    
10        style          1.0000    2.9957    2.9957    
11        classic        1.0000    2.9957    2.9957    
12        california     1.0000    2.9957    2.9957    
13        buttercream    1.0000    2.9957    2.9957    
14        aroma          1.0000    2.9957    2.9957    
15        cut            1.0000    2.9957    2.9957    
16        tart           1.0000    1.8971    1.8971    
17        green          1.0000    1.6094    1.6094    
18        apple          1.0000    1.6094    1.6094    
19        good           1.0000    1.8971    1.8971    
20        everyday       1.0000    2.9957    2.9957    
21        sipping        1.0000    2.9957    2.9957    
22        wine           1.0000    0.9163    0.9163    
23        flavors        1.0000    1.2040    1.2040    
24        range          1.0000    2.9957    2.9957    
25        pear           1.0000    2.3026    2.3026    
26        barely         1.0000    2.9957    2.9957    
27        ripe           1.0000    1.8971    1.8971    
28        pineapple      1.0000    1.8971    1.8971    
29        prove          1.0000    2.9957    2.9957    
30        approachable   1.0000    2.3026    2.3026    
31        distinctive    1.0000    2.9957    2.9957    

Documento 15:
Index     Term           TF        IDF       TF-IDF    
0         zesty          1.0000    2.9957    2.9957    
1         orange         1.0000    2.3026    2.3026    
2         peels          1.0000    2.9957    2.9957    
3         apple          1.0000    1.6094    1.6094    
4         note           1.0000    1.3863    1.3863    
5         abound         1.0000    2.9957    2.9957    
6         sprightly      1.0000    2.3026    2.3026    
7         mineral        1.0000    2.3026    2.3026    
8         toned          1.0000    2.9957    2.9957    
9         riesling       1.0000    2.9957    2.9957    
10        dry            1.0000    1.3863    1.3863    
11        palate         1.0000    0.9163    0.9163    
12        racy           1.0000    2.9957    2.9957    
13        lean           1.0000    2.9957    2.9957    
14        s              1.0000    0.7985    0.7985    
15        a              1.0000    0.2877    0.2877    
16        refreshing     1.0000    2.9957    2.9957    
17        easy           1.0000    2.9957    2.9957    
18        quaffer        1.0000    2.9957    2.9957    
19        wide           1.0000    2.9957    2.9957    
20        appeal         1.0000    2.9957    2.9957    

Documento 16:
Index     Term           TF        IDF       TF-IDF    
0         bake           1.0000    2.9957    2.9957    
1         plum           1.3010    1.6094    2.0939    
2         molasses       1.0000    2.9957    2.9957    
3         balsamic       1.0000    2.9957    2.9957    
4         vinegar        1.0000    2.9957    2.9957    
5         cheesy         1.0000    2.9957    2.9957    
6         oak            1.0000    1.2040    1.2040    
7         aromas         1.0000    0.6931    0.6931    
8         feed           1.0000    2.9957    2.9957    
9         a              1.4771    0.2877    0.4249    
10        palate         1.0000    0.9163    0.9163    
11        s              1.0000    0.7985    0.7985    
12        braced         1.0000    2.9957    2.9957    
13        a              1.4771    0.2877    0.4249    
14        bolt           1.0000    2.9957    2.9957    
15        acidity        1.0000    0.9163    0.9163    
16        a              1.4771    0.2877    0.4249    
17        compact        1.0000    2.9957    2.9957    
18        set            1.0000    2.9957    2.9957    
19        saucy          1.0000    2.9957    2.9957    
20        red            1.0000    1.3863    1.3863    
21        berry          1.0000    1.6094    1.6094    
22        plum           1.3010    1.6094    2.0939    
23        flavors        1.0000    1.2040    1.2040    
24        feature        1.0000    2.9957    2.9957    
25        tobacco        1.0000    2.3026    2.3026    
26        peppery        1.0000    2.9957    2.9957    
27        accents        1.0000    2.9957    2.9957    
28        finish         1.0000    1.2040    1.2040    
29        mildly         1.0000    2.9957    2.9957    
30        green          1.0000    1.6094    1.6094    
31        flavor         1.0000    1.8971    1.8971    
32        respectable    1.0000    2.9957    2.9957    
33        weight         1.0000    2.9957    2.9957    
34        balance        1.0000    1.6094    1.6094    

Documento 17:
Index     Term           TF        IDF       TF-IDF    
0         raw            1.0000    2.9957    2.9957    
1         black          1.0000    1.8971    1.8971    
2         cherry         1.0000    1.8971    1.8971    
3         aromas         1.0000    0.6931    0.6931    
4         direct         1.0000    2.9957    2.9957    
5         simple         1.0000    2.9957    2.9957    
6         good           1.0000    1.8971    1.8971    
7         a              1.3010    0.2877    0.3743    
8         juicy          1.0000    1.8971    1.8971    
9         feel           1.0000    2.9957    2.9957    
10        thickens       1.0000    2.9957    2.9957    
11        time           1.0000    2.9957    2.9957    
12        oak            1.3010    1.2040    1.5664    
13        character      1.0000    2.3026    2.3026    
14        extract        1.0000    2.9957    2.9957    
15        apparent       1.0000    2.9957    2.9957    
16        a              1.3010    0.2877    0.3743    
17        flavor         1.0000    1.8971    1.8971    
18        profile        1.0000    2.9957    2.9957    
19        drive          1.0000    1.8971    1.8971    
20        dark           1.0000    1.8971    1.8971    
21        berry          1.0000    1.6094    1.6094    
22        fruits         1.0000    1.8971    1.8971    
23        smoldering     1.0000    2.9957    2.9957    
24        oak            1.3010    1.2040    1.5664    
25        finish         1.0000    1.2040    1.2040    
26        meaty          1.0000    2.9957    2.9957    
27        hot            1.0000    2.9957    2.9957    

Documento 18:
Index     Term           TF        IDF       TF-IDF    
0         desiccated     1.0000    2.9957    2.9957    
1         blackberry     1.3010    2.3026    2.9957    
2         leather        1.0000    2.9957    2.9957    
3         charred        1.0000    2.9957    2.9957    
4         wood           1.0000    2.9957    2.9957    
5         mint           1.0000    2.9957    2.9957    
6         aromas         1.3010    0.6931    0.9018    
7         carry          1.0000    1.8971    1.8971    
8         nose           1.0000    2.3026    2.3026    
9         full           1.0000    2.3026    2.3026    
10        bodied         1.0000    2.3026    2.3026    
11        tannic         1.0000    1.8971    1.8971    
12        heavily        1.0000    2.9957    2.9957    
13        oaked          1.0000    2.9957    2.9957    
14        tinto          1.0000    2.9957    2.9957    
15        fino           1.0000    2.9957    2.9957    
16        flavors        1.0000    1.2040    1.2040    
17        clove          1.0000    2.9957    2.9957    
18        woodspice      1.0000    2.9957    2.9957    
19        sit            1.0000    2.9957    2.9957    
20        top            1.0000    2.9957    2.9957    
21        blackberry     1.3010    2.3026    2.9957    
22        fruit          1.0000    1.6094    1.6094    
23        hickory        1.0000    2.9957    2.9957    
24        forceful       1.0000    2.9957    2.9957    
25        oak            1.0000    1.2040    1.2040    
26        base           1.0000    2.9957    2.9957    
27        aromas         1.3010    0.6931    0.9018    
28        rise           1.0000    2.9957    2.9957    
29        dominate       1.0000    1.8971    1.8971    
30        finish         1.0000    1.2040    1.2040    

Documento 19:
Index     Term           TF        IDF       TF-IDF    
0         red            1.0000    1.3863    1.3863    
1         fruit          1.0000    1.6094    1.6094    
2         aromas         1.0000    0.6931    0.6931    
3         pervade        1.0000    2.9957    2.9957    
4         nose           1.0000    2.3026    2.3026    
5         cigar          1.0000    2.3026    2.3026    
6         box            1.0000    2.3026    2.3026    
7         menthol        1.0000    2.9957    2.9957    
8         note           1.3010    1.3863    1.8036    
9         ride           1.0000    2.9957    2.9957    
10        palate         1.0000    0.9163    0.9163    
11        slightly       1.0000    1.8971    1.8971    
12        restrain       1.0000    2.3026    2.3026    
13        entry          1.0000    2.9957    2.9957    
14        open           1.0000    2.3026    2.3026    
15        riper          1.0000    2.9957    2.9957    
16        note           1.3010    1.3863    1.8036    
17        cherry         1.0000    1.8971    1.8971    
18        plum           1.0000    1.6094    1.6094    
19        specked        1.0000    2.9957    2.9957    
20        crushed        1.0000    2.9957    2.9957    
21        pepper         1.0000    1.6094    1.6094    
22        blend          1.0000    2.9957    2.9957    
23        merlot         1.0000    2.9957    2.9957    
24        cabernet       1.3010    2.9957    3.8975    
25        sauvignon      1.0000    2.9957    2.9957    
26        cabernet       1.3010    2.9957    3.8975    
27        franc          1.0000    2.9957    2.9957    
28        approachable   1.0000    2.3026    2.3026    
29        ready          1.0000    2.9957    2.9957    
30        enjoy          1.0000    2.9957    2.9957    

Documento 20:
Index     Term           TF        IDF       TF-IDF    
0         ripe           1.0000    1.8971    1.8971    
1         aromas         1.0000    0.6931    0.6931    
2         dark           1.0000    1.8971    1.8971    
3         berries        1.0000    2.9957    2.9957    
4         mingle         1.0000    2.9957    2.9957    
5         ample          1.0000    2.9957    2.9957    
6         note           1.3010    1.3863    1.8036    
7         black          1.0000    1.8971    1.8971    
8         pepper         1.0000    1.6094    1.6094    
9         toasted        1.0000    2.9957    2.9957    
10        vanilla        1.0000    2.3026    2.3026    
11        dusty          1.0000    2.9957    2.9957    
12        tobacco        1.0000    2.3026    2.3026    
13        palate         1.0000    0.9163    0.9163    
14        oak            1.0000    1.2040    1.2040    
15        drive          1.0000    1.8971    1.8971    
16        nature         1.0000    2.9957    2.9957    
17        note           1.3010    1.3863    1.8036    
18        tart           1.0000    1.8971    1.8971    
19        red            1.0000    1.3863    1.3863    
20        currant        1.0000    2.9957    2.9957    
21        shine          1.0000    2.9957    2.9957    
22        offer          1.0000    1.6094    1.6094    
23        a              1.0000    0.2877    0.2877    
24        bite           1.0000    2.3026    2.3026    
25        levity         1.0000    2.9957    2.9957    

Similitudes coseno entre documentos:
Doc 1: 1.0000, 0.0083, 0.0077, 0.0106, 0.0000, 0.0288, 0.0742, 0.0484, 0.1117, 0.0367, 0.0522, 0.0247, 0.0561, 0.0158, 0.0272, 0.0145, 0.0036, 0.0209, 0.0261, 0.0315
